date,gross_return,base_cost_return,stressed_cost_return,net_return,stressed_net_return,turnover,gross_leverage,net_exposure,nav,stressed_cost_nav
2012-08-31,-0.0017027942829423623,2.512011283125361e-05,7.536033849376082e-05,-0.001727914395773616,-0.0017781546214361232,0.15,1.5583425159132345,0.42483624841747675,1.157458735210213,1.1494568404314198
2012-09-04,0.0011969347445385458,2.5120112831253618e-05,7.536033849376084e-05,0.0011718146317072921,0.001121574406044785,0.15000000000000002,1.5729807023454245,0.5613377070644439,1.1588150622917297,1.150746041804501
2012-09-05,-0.0008983914737378829,2.5120112831253604e-05,7.53603384937608e-05,-0.0009235115865691365,-0.0009737518122316437,0.14999999999999997,1.5876188887776153,0.6978391657114109,1.1577448831550126,1.1496255007608753
2012-09-06,-0.005314823713262621,2.5120112831253618e-05,7.536033849376085e-05,-0.0053399438260938745,-0.005390184051756381,0.15000000000000005,1.6022570752098055,0.834340624358378,1.1515625905140172,1.1434288077211816
2012-09-07,-0.008053375832729926,2.5120112831253618e-05,7.536033849376085e-05,-0.00807849594556118,-0.008128736171223687,0.15000000000000002,1.6287966455355234,0.970842083005345,1.1422596967954897,1.1341341766126394
2012-09-10,-0.0003916523536355199,2.5120112831253618e-05,7.536033849376086e-05,-0.0004167724664667735,-0.00046701269212928075,0.15000000000000002,1.7060970337064443,1.107343541652312,1.1417836344043106,1.1336045215575838
2012-09-11,-0.004927499518063729,2.5120112831253604e-05,7.536033849376082e-05,-0.004952619630894983,-0.00500285985655749,0.14999999999999997,1.7833974218773654,1.2438450002992794,1.1361288143623252,1.1279332570034715
2012-09-12,-0.002311614589153218,1.9476909144661323e-05,5.8430727433983954e-05,-0.0023310914982978795,-0.002370045316587202,0.11630267711474285,1.843332369119278,1.3496815674373435,1.1334803941421938,1.1252600040702874
2012-09-13,0.006544060809716238,0.0,0.0,0.006544060809716238,0.006544060809716238,0.0,1.843332369119278,1.3496815674373435,1.1408979587680814,1.1326237739636649
2012-09-14,-0.006128777209289123,0.0,0.0,-0.006128777209289123,-0.006128777209289123,0.0,1.843332369119278,1.3496815674373435,1.133905649360259,1.1256821751910973
2012-09-17,0.0017154176301057257,0.0,0.0,0.0017154176301057257,0.0017154176301057257,0.0,1.843332369119278,1.3496815674373435,1.1358507711020482,1.127613190240316
2012-09-18,0.0028970418302937625,0.0,0.0,0.0028970418302937625,0.0028970418302937625,0.0,1.843332369119278,1.3496815674373435,1.1391413782989024,1.1308799328208332
2012-09-19,0.0016371272571804416,0.0,0.0,0.0016371272571804416,0.0016371272571804416,0.0,1.843332369119278,1.3496815674373435,1.1410062976990976,1.1327313271834527
2012-09-20,0.0018338352697841644,0.0,0.0,0.0018338352697841644,0.0018338352697841644,0.0,1.843332369119278,1.3496815674373435,1.143098715290864,1.1348085698424313
2012-09-21,0.0007082097274479272,0.0,0.0,0.0007082097274479272,0.0007082097274479272,0.0,1.843332369119278,1.3496815674373435,1.1439082689204663,1.135612252310385
2012-09-24,0.0013810584991055818,0.0,0.0,0.0013810584991055818,0.0013810584991055818,0.0,1.843332369119278,1.3496815674373435,1.1454880731574562,1.1371805992631268
2012-09-25,-0.0046201690706736435,0.0,0.0,-0.0046201690706736435,-0.0046201690706736435,0.0,1.843332369119278,1.3496815674373435,1.1401957245910286,1.1319266326306412
2012-09-26,-0.0005215952689897002,0.0,0.0,-0.0005215952689897002,-0.0005215952689897002,0.0,1.843332369119278,1.3496815674373435,1.1396010038953597,1.1313362250542176
2012-09-27,0.004474114431696542,0.0,0.0,0.004474114431696542,0.004474114431696542,0.0,1.843332369119278,1.3496815674373435,1.1446997091932638,1.1363979527858339
2012-09-28,-0.0034175133654398737,0.0,0.0,-0.0034175133654398737,-0.0034175133654398737,0.0,1.843332369119278,1.3496815674373435,1.1407876826376808,1.13251429759373
2012-10-01,0.0015232211514022073,0.0,0.0,0.0015232211514022073,0.0015232211514022073,0.0,1.843332369119278,1.3496815674373435,1.1425253545651337,1.1342393673260902
2012-10-02,0.0002530486785808432,0.0,0.0,0.0002530486785808432,0.0002530486785808432,0.0,1.843332369119278,1.3496815674373435,1.1428144690963515,1.1345263850991865
2012-10-03,0.0028741812389768704,0.0,0.0,0.0028741812389768704,0.0028741812389768704,0.0,1.843332369119278,1.3496815674373435,1.1460991250030597,1.1377872195503629
2012-10-04,-0.0026730073928414207,0.0,0.0,-0.0026730073928414207,-0.0026730073928414207,0.0,1.843332369119278,1.3496815674373435,1.1430355935689975,1.1347459059010243
2012-10-05,-0.005348621545349636,0.0,0.0,-0.005348621545349636,-0.005348621545349636,0.0,1.843332369119278,1.3496815674373435,1.136921928766133,1.1286765795002247
2012-10-08,-0.0001285898791288366,0.0,0.0,-0.0001285898791288366,-0.0001285898791288366,0.0,1.843332369119278,1.3496815674373435,1.136775732112734,1.1285314431152913
2012-10-09,-0.0065114705726297606,0.0,0.0,-0.0065114705726297606,-0.0065114705726297606,0.0,1.843332369119278,1.3496815674373435,1.1293736503854024,1.1211830438331587
2012-10-10,-0.0021976028378634374,0.0,0.0,-0.0021976028378634374,-0.0021976028378634374,0.0,1.843332369119278,1.3496815674373435,1.1268917356463073,1.1187191287942666
2012-10-11,0.0011800157032720927,0.0,0.0,0.0011800157032720927,0.0011800157032720927,0.0,1.843332369119278,1.3496815674373435,1.1282214855902577,1.1200392349337949
2012-10-12,-0.002252572061737957,0.0,0.0,-0.002252572061737957,-0.002252572061737957,0.0,1.843332369119278,1.3496815674373435,1.1256800853923645,1.1175162658451325
2012-10-15,0.0051325174483572685,0.0,0.0,0.0051325174483572685,0.0051325174483572685,0.0,1.843332369119278,1.3496815674373435,1.1314576580719091,1.1232519375784056
2012-10-16,0.0014879277117471304,0.0,0.0,0.0014879277117471304,0.0014879277117471304,0.0,1.843332369119278,1.3496815674373435,1.133141185276023,1.1249232552636022
2012-10-17,-0.00303683290761202,0.0,0.0,-0.00303683290761202,-0.00303683290761202,0.0,1.843332369119278,1.3496815674373435,1.1297000248356062,1.1215070513034795
2012-10-18,-0.004212028349448927,0.0,0.0,-0.004212028349448927,-0.004212028349448927,0.0,1.843332369119278,1.3496815674373435,1.1249416963046255,1.1167832318092825
2012-10-19,-0.007804741647477017,0.0,0.0,-0.007804741647477017,-0.007804741647477017,0.0,1.843332369119278,1.3496815674373435,1.1161618169964933,1.1080670272087767
2012-10-22,-0.0010808193898718668,0.0,0.0,-0.0010808193898718668,-0.0010808193898718668,0.0,1.843332369119278,1.3496815674373435,1.114955447662449,1.1068694068804918
